country,latitude,longitude
Gibraltar,36.140751,-5.353585
Greece,39.074208,21.824312
Greenland,71.706936,-42.604303
Grenada,12.1165,-61.67899999999999
Guadeloupe,16.265,-61.55099999999999
Guam,13.444304,144.793731
Guatemala,15.783471,-90.230759
Guernsey,49.465691,-2.585278
Guinea,9.945587,-9.696645
Guinea Bissau,11.86357,-15.59767
Guinea-Bissau,11.803749,-15.180413
Guyana,4.860416000000001,-58.93018000000001
Haiti,18.971187,-72.28521500000001
Heard Island & McDonald Islands,-53.08181,73.50415799999998
Honduras,15.199998999999998,-86.241905
Hong Kong,22.396428,114.109497
Hungary,47.162494,19.5033041
Iceland,64.96305100000001,-19.020835
India,20.593684,78.96288
Indian Ocean Territories,-7.3195,72.422859
Indonesia,-0.789275,113.921327
Iran,32.427908,53.68804599999999
Iraq,33.223191,43.679291
Ireland,53.1423672,-7.692053599999999
Isle of Man,54.236107,-4.548056
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Ivory Coast,7.539989,-5.54708
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Jersey,49.214439,-2.13125
Jordan,30.585164,36.238414
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
Kiribati,-3.370417,-168.734039
Kosovo,42.65913,20.28828
Kuwait,29.31166,47.481766
Kyrgyzstan,41.20438,74.766098
Laos,19.85627,102.495496
Latvia,56.879635,24.603189
Lebanon,33.854721000000005,35.862285
Lesotho,-29.609988,28.233608
Liberia,6.4280550000000005,-9.429499000000002
Libya,26.3351,17.228331
Liechtenstein,47.166,9.555373
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.1295829999999984
Macau,22.198745,113.543873
Macedonia,41.608635,21.745275
Madagascar,-18.766947,46.869107
Malawi,-13.254307999999998,34.301525
Malaysia,4.210483999999999,101.975766
Maldives,3.202778,73.22068
Mali,17.570692,-3.996166000000001
Malta,35.937496,14.375416
Marshall Islands,7.131474000000001,171.184478
Martinique,14.641528,-61.024174
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.55215200000001
Mayotte,-12.8275,45.166244
Mexico,23.634501,-102.552784
Micronesia,7.425553999999999,150.550812
Moldova,47.411631,28.369885
Monaco,43.73841760000001,7.424615799999999
Mongolia,46.862496,103.846656
Montenegro,42.708678000000006,19.37439
Montserrat,16.742498,-62.187366
Morocco,31.791702,-7.092619999999998
Mozambique,-18.665695,35.529562
Myanmar,21.916221,95.955974
N. Mariana Islands,15.21233,145.7545
Namibia,-22.95764,18.49041
Nauru,-0.522778,166.931503
Nepal,28.394857,84.12400799999998
Netherlands,52.132633,5.291265999999999
Netherlands Antilles,12.226079,-69.060087
New Caledonia,-20.904305,165.618042
New Zealand,-40.900557,174.88597099999998
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277000000001
Niue,-19.054445,-169.867233
Norfolk Island,-29.040835,167.954712
North Korea,40.339852,127.510093
Northern Cyprus,35.1264114,33.4298592
Northern Mariana Islands,15.0979,145.6739
Norway,60.47202399999999,8.468945999999999
Oman,21.4735329,55.975413
Pakistan,30.375321000000003,69.34511599999999
Palau,7.514979999999999,134.58252
Palestine,31.952162,35.233154
Panama,8.537981,-80.782127
Papua New Guinea,-6.314992999999999,143.95555
Paraguay,-23.442503,-58.44383199999999
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Pitcairn Islands,-24.3767537,-128.3242376
Poland,51.919438,19.145136
Portugal,39.39987199999999,-8.224454
Puerto Rico,18.220833,-66.590149
Qatar,25.354826,51.183884
Republic of Congo,-4.038333,21.758664
Republic of Serbia,44.016521,21.005859
Reunion,-21.115141,55.536384
Romania,45.943161,24.96676
Russia,61.52401,105.318756
Rwanda,-1.940278,29.873888
Réunion,-21.115141,55.536384
Saint Helena,-24.143474,-10.030696
Samoa,-13.759029,-172.10462900000002
San Marino,43.94236,12.457777
Sao Tome & Principe,0.33654,6.72732
Saudi Arabia,23.885942,45.079162
Senegal,14.497401000000002,-14.452362
Seychelles,-4.679574,55.491977
Siachen Glacier,35.421226,77.10954
Sierra Leone,8.460555000000001,-11.779889
Singapore,1.352083,103.819836
Sint Maarten,18.04248,-63.05483
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
Solomon Islands,-9.64571,160.156194
Somalia,5.152149,46.199616
South Africa,-30.559482,22.937506
South Georgia & South Sandwich Islands,-54.429579,-36.587909
South Korea,35.907757000000004,127.766922
South Sudan,6.876991899999998,31.3069788
Spain,40.46366700000001,-3.74922
Sri Lanka,7.873053999999999,80.77179699999998
St. Barthélemy,17.9,-62.833333
St. Helena,-15.9650104,-5.708924099999999
St. Kitts & Nevis,17.357822,-62.782998
St. Lucia,13.909444,-60.97889300000001
St. Martin,18.0708298,-63.0500809
St. Pierre & Miquelon,46.8852,-56.3159
St. Vincent & Grenadines,12.984305,-61.287228000000006
Sudan,12.862807,30.217636
Suriname,3.919305000000001,-56.02778299999999
Svalbard & Jan Mayen,77.55360399999998,23.6702719
Swaziland,-26.522503000000004,31.465866
Sweden,60.12816100000001,18.643501
Switzerland,46.818188,8.227511999999999
Syria,34.80207499999999,38.996815000000005
São Tomé & Príncipe,0.18636,6.613080999999998
Taiwan,23.69781,120.960515
Tajikistan,38.861034,71.276093
Thailand,15.870032,100.992541
Timor-Leste,-8.874217,125.727539
Togo,8.619543,0.824782
Tokelau,-9.2002,-171.8484
Tonga,-21.178986,-175.198242
Trinidad & Tobago,10.691803,-61.222503
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Turkmenistan,38.969719,59.556278000000006
Turks & Caicos Islands,21.694025,-71.797928
Tuvalu,-7.109534999999998,177.64933
U.S. Outlying Islands,19.2823192,166.647047
U.S. Virgin Islands,18.335765,-64.896335
Uganda,1.373333,32.290275
Ukraine,48.379433,31.1655799
United Arab Emirates,23.424076,53.847818
United Kingdom,55.378051,-3.435973
United Republic of Tanzania,-6.369028,34.888822
United States,40.7605367,-73.97889029999999
Uruguay,-32.522779,-55.765835
Uzbekistan,41.377491,64.585262
Vanuatu,-15.376706,166.959158
Vatican City,41.902916,12.453389
Venezuela,6.42375,-66.58973
Vietnam,14.058324,108.277199
Wallis & Futuna,-14.2938,-178.1165
West Bank,32.2211113,35.2544403
Western Sahara,24.215527,-12.885834
Yemen,15.552727,48.516388
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
